School Code,ACT Score,Zscore
400,23,1.51507043860237
41,21,0.7679307889330292
101,20,0.3943609640983589
131,20,0.3943609640983589
151,19,0.020791139263688585
191,19,0.020791139263688585
231,20,0.3943609640983589
291,21,0.7679307889330292
41,21,0.7679307889330292
201,20,0.3943609640983589
211,24,1.8886402634370403
581,22,1.1415006137676995
601,22,1.1415006137676995
641,22,1.1415006137676995
9805,26,2.635779913106381
101,18,-0.35277868557098174
40,14,-1.847057984909663
74,15,-1.4734881600749927
84,15,-1.4734881600749927
85,14,-1.847057984909663
111,21,0.7679307889330292
120,15,-1.4734881600749927
121,20,0.3943609640983589
146,21,0.7679307889330292
252,18,-0.35277868557098174
661,18,-0.35277868557098174
671,15,-1.4734881600749927
691,16,-1.0999183352403223
931,20,0.3943609640983589
1001,19,0.020791139263688585
1411,22,1.1415006137676995
1511,20,0.3943609640983589
1521,18,-0.35277868557098174
1542,19,0.020791139263688585
1631,20,0.3943609640983589
1632,21,0.7679307889330292
1651,19,0.020791139263688585
1662,18,-0.35277868557098174
1801,18,-0.35277868557098174
1811,14,-1.847057984909663
1951,19,0.020791139263688585
5711,17,-0.7263485104056521
81,18,-0.35277868557098174
201,18,-0.35277868557098174
601,18,-0.35277868557098174
841,17,-0.7263485104056521
842,17,-0.7263485104056521
853,18,-0.35277868557098174
862,20,0.3943609640983589
902,20,0.3943609640983589
921,22,1.1415006137676995
922,20,0.3943609640983589
959,14,-1.847057984909663
9003,14,-1.847057984909663
81,23,1.51507043860237
151,26,2.635779913106381
395,25,2.2622100882717104
581,17,-0.7263485104056521
691,16,-1.0999183352403223
